,Player,Week,Opponet ,Win/Loss,Rushing Attempts,Total Rushing Yards,Rushing Touchdowns,Passes Targetted,Passes caught,Total passing yards,Recieving_Touchdowns,Fantasy Points Per Game
1269, Devin Singletary,7,MIA,W 31-21,7,26,0,0,0,0,0,2.6
1270, Devin Singletary,8,PHI,L 13-31,3,19,0,6,4,30,1,10.9
1271, Frank Gore,8,PHI,L 13-31,9,34,0,0,0,0,0,3.4
1272, Patrick DiMarco,8,PHI,L 13-31,0,0,0,1,0,0,0,0.0
1273, Devin Singletary,9,WAS,W 24-9,20,95,1,4,3,45,0,20.0
1274, Frank Gore,9,WAS,W 24-9,11,15,0,0,0,0,0,1.5
1275, Devin Singletary,10,at CLE,L 16-19,8,42,0,6,3,8,0,5.0
1276, Frank Gore,10,at CLE,L 16-19,5,12,0,1,1,4,0,1.6
1277, Patrick DiMarco,10,at CLE,L 16-19,1,2,0,1,1,2,0,0.4
1278, Devin Singletary,11,at MIA,W 37-20,15,75,0,1,1,4,0,7.9
1279, Frank Gore,11,at MIA,W 37-20,11,27,0,2,1,18,0,4.5
1280, Devin Singletary,12,DEN,W 20-3,21,106,0,2,1,8,0,11.4
1281, Frank Gore,12,DEN,W 20-3,15,65,0,0,0,0,0,6.5
1282, Devin Singletary,13,at DAL,W 26-15,14,63,0,4,3,38,1,16.1
1283, Frank Gore,13,at DAL,W 26-15,9,11,0,1,1,14,0,2.5
1284, Devin Singletary,14,BAL,L 17-24,17,89,0,8,6,29,0,11.8
1285, Frank Gore,14,BAL,L 17-24,4,6,0,0,0,0,0,0.6
1286, Devin Singletary,15,at PIT,W 17-10,21,87,0,3,2,2,0,8.9
1287, Frank Gore,15,at PIT,W 17-10,10,15,0,0,0,0,0,1.5
1288, Patrick DiMarco,15,at PIT,W 17-10,0,0,0,1,0,0,0,0.0
1289, Devin Singletary,16,at NE,L 17-24,15,46,0,1,1,2,0,4.8
1290, T.J. Yeldon,17,NYJ,L 6-13,7,18,0,4,3,24,0,4.2
1291, Frank Gore,17,NYJ,L 6-13,6,26,0,4,3,16,0,4.2
1292, Senorise Perry,17,NYJ,L 6-13,3,3,0,1,1,1,0,0.4
1293,Le'Veon Bell,1,BUF,L 16-17,17,60,0,9,6,32,1,15.2
1294, Ty Montgomery,1,BUF,L 16-17,2,4,0,0,0,0,0,0.4
1295, Le'Veon Bell,2,CLE,L 3-23,21,68,0,10,10,61,0,12.9
1296, Ty Montgomery,2,CLE,L 3-23,3,25,0,3,3,15,0,4.0
1297, Le'Veon Bell,3,at NE,L 14-30,18,35,0,4,4,28,0,6.3
1298, Ty Montgomery,3,at NE,L 14-30,2,1,0,1,0,0,0,0.1
1299, Le'Veon Bell,5,at PHI,L 6-31,15,43,0,9,7,45,0,8.8
1300, Bilal Powell,5,at PHI,L 6-31,1,4,0,0,0,0,0,0.4
1301, Ty Montgomery,5,at PHI,L 6-31,2,1,0,0,0,0,0,0.1
1302, Le'Veon Bell,6,DAL,W 24-22,14,50,1,1,1,3,0,11.3
1303, Ty Montgomery,6,DAL,W 24-22,0,0,0,3,3,17,0,1.7
1304, Bilal Powell,6,DAL,W 24-22,1,5,0,1,0,0,0,0.5
1305, Le'Veon Bell,7,NE,L 0-33,15,70,0,4,1,6,0,7.6
1306, Ty Montgomery,7,NE,L 0-33,2,9,0,1,0,0,0,0.9
1307, Bilal Powell,7,NE,L 0-33,1,3,0,0,0,0,0,0.3
1308, Le'Veon Bell,8,at JAC,L 15-29,8,23,0,5,3,12,0,3.5
1309, Bilal Powell,8,at JAC,L 15-29,4,11,0,0,0,0,0,1.1
1310, Le'Veon Bell,9,at MIA,L 18-26,17,66,0,9,8,55,0,12.1
1311, Bilal Powell,9,at MIA,L 18-26,2,16,0,0,0,0,0,1.6
1312, Le'Veon Bell,10,NYG,W 34-27,18,34,1,4,4,34,0,12.8
1313, Bilal Powell,10,NYG,W 34-27,7,15,0,0,0,0,0,1.5
1314, Le'Veon Bell,11,at WAS,W 34-17,18,59,1,2,2,33,0,15.2
1315, Bilal Powell,11,at WAS,W 34-17,7,42,0,2,1,5,0,4.7
1316, Ty Montgomery,11,at WAS,W 34-17,2,11,0,1,0,0,0,1.1
1317, Josh Adams,11,at WAS,W 34-17,4,6,0,0,0,0,0,0.6
1318, Le'Veon Bell,12,LV,W 34-3,12,49,0,5,5,59,0,10.8
1319, Ty Montgomery,12,LV,W 34-3,5,2,0,2,1,21,0,2.3
1320, Bilal Powell,12,LV,W 34-3,5,15,0,2,1,5,0,2.0
1321, Josh Adams,12,LV,W 34-3,4,6,0,0,0,0,0,0.6
1322, Le'Veon Bell,13,at CIN,L 6-22,10,32,0,5,4,35,0,6.7
1323, Bilal Powell,13,at CIN,L 6-22,4,14,0,2,2,4,0,1.8
1324, Ty Montgomery,13,at CIN,L 6-22,1,7,0,1,1,1,0,0.8
1325, Bilal Powell,14,MIA,W 22-21,19,74,0,3,2,14,0,8.8
1326, Ty Montgomery,14,MIA,W 22-21,9,31,0,3,3,30,0,6.1
1327, Le'Veon Bell,15,at BAL,L 21-42,21,87,0,2,2,1,0,8.8
1328, Ty Montgomery,15,at BAL,L 21-42,2,5,0,1,1,5,0,1.0
1329, Le'Veon Bell,16,PIT,W 16-10,25,72,0,4,4,21,0,9.3
1330, Ty Montgomery,16,PIT,W 16-10,2,7,0,1,1,1,0,0.8
1331, Bilal Powell,16,PIT,W 16-10,1,3,0,2,1,5,0,0.8
1332, Le'Veon Bell,17,at BUF,W 13-6,16,41,0,5,5,36,0,7.7
1333, Bilal Powell,17,at BUF,W 13-6,7,27,0,0,0,0,0,2.7
1334, Kenyan Drake,1,BAL,L 10-59,4,12,0,3,2,15,0,2.7
1335, Kalen Ballage,1,BAL,L 10-59,5,-1,0,1,1,13,0,1.2
1336, Mark Walton,1,BAL,L 10-59,1,1,0,0,0,0,0,0.1
1337, Kenyan Drake,2,NE,L 0-43,6,19,0,6,5,29,0,4.8
1338, Mark Walton,2,NE,L 0-43,3,15,0,2,1,12,0,2.7
1339, Kalen Ballage,2,NE,L 0-43,4,6,0,5,1,6,0,1.2
1340, Kenyan Drake,3,at DAL,L 6-31,12,38,0,6,3,34,0,7.2
1341, Kalen Ballage,3,at DAL,L 6-31,8,17,0,3,1,10,0,2.7
1342, Kenyan Drake,4,LAC,L 10-30,9,44,0,5,3,29,0,7.3
1343, Mark Walton,4,LAC,L 10-30,6,23,0,2,2,11,0,3.4
1344, Kalen Ballage,4,LAC,L 10-30,2,7,0,1,0,0,0,0.7
1345, Mark Walton,6,WAS,L 16-17,6,32,0,6,5,43,0,7.5
1346, Kenyan Drake,6,WAS,L 16-17,10,40,0,9,6,30,0,7.0
1347, Kalen Ballage,6,WAS,L 16-17,3,7,1,0,0,0,0,6.7
1348, Kalen Ballage,7,at BUF,L 21-31,3,7,1,0,0,0,0,6.7
1349, Mark Walton,7,at BUF,L 21-31,14,66,0,1,1,-8,0,5.8
1350, Kenyan Drake,7,at BUF,L 21-31,6,21,0,4,3,37,0,5.8
1351, Mark Walton,8,at PIT,L 14-27,11,35,0,6,3,19,0,5.4
1352, Kalen Ballage,8,at PIT,L 14-27,3,8,0,1,1,11,0,1.9
1353, Mark Walton,9,NYJ,W 26-18,12,29,0,4,3,12,0,4.1
1354, Kalen Ballage,9,NYJ,W 26-18,7,19,0,1,0,0,0,1.9
1355, Kalen Ballage,10,at IND,W 16-12,20,43,0,4,4,2,0,4.5
1356, Patrick Laird,10,at IND,W 16-12,2,4,0,2,2,15,0,1.9
1357, Myles Gaskin,10,at IND,W 16-12,0,0,0,1,1,0,0,0.0
1358, Kalen Ballage,11,BUF,L 20-37,9,9,1,6,5,8,0,7.7
1359, Patrick Laird,11,BUF,L 20-37,1,7,0,6,6,51,0,5.8
1360, Myles Gaskin,11,BUF,L 20-37,1,0,0,1,0,0,0,0.0
1361, Kalen Ballage,12,at CLE,L 24-41,7,13,0,1,1,13,0,2.6
1362, Patrick Laird,12,at CLE,L 24-41,3,20,0,1,0,0,0,2.0
1363, Myles Gaskin,12,at CLE,L 24-41,4,10,0,1,1,7,0,1.7
1364, Patrick Laird,13,PHI,W 37-31,10,5,1,5,4,43,0,10.8
1365, Myles Gaskin,13,PHI,W 37-31,2,20,0,1,1,6,0,2.6
1366, Kalen Ballage,13,PHI,W 37-31,3,0,0,1,0,0,0,0.0
1367, Patrick Laird,14,at NYJ,L 21-22,15,48,0,5,4,38,0,8.6
1368, Myles Gaskin,14,at NYJ,L 21-22,4,5,0,2,1,6,0,1.1
1369, Myles Gaskin,15,at NYG,L 20-36,9,43,0,3,2,29,0,7.2
1370, Patrick Laird,15,at NYG,L 20-36,12,46,0,5,2,8,0,5.4
1371, Myles Gaskin,16,CIN,W 38-35,16,55,1,3,1,3,0,11.8
1372, Patrick Laird,16,CIN,W 38-35,8,17,0,1,1,1,0,1.8
1373, De'Lance Turner,16,CIN,W 38-35,4,6,0,0,0,0,0,0.6
1374, Patrick Laird,17,at NE,W 27-24,11,21,0,5,4,48,0,6.9
1375, Samaje Perine,17,at NE,W 27-24,5,16,0,0,0,0,0,1.6
